TIMESTAMP,NEE_VUT_REF,NEE_VUT_REF_QC,GPP_NT_VUT_REF
20000101,0.317027,0.916667,0.232723
20000102,0.419254,1,0.150954
20000103,0.521786,1,-0.118087
20000104,0.497086,1,-0.102292
20000105,0.512509,1,-0.11812
20000106,0.379463,1,0.189341
20000107,0.660641,1,-0.200779
20000108,0.397276,1,0.327631
20000109,0.499147,1,0.198011
20000110,0.327453,1,0.472608
20000111,0.57891,1,0.0871328
20000112,0.756975,1,-0.362604
20000113,0.703923,1,-0.435483
20000114,0.502141,1,-0.0789809
20000115,0.310816,1,0.290349
20000116,0.692837,1,-0.331046
20000117,0.294151,1,-0.0599218
20000118,0.314975,1,0.0951196
20000119,0.524224,1,-0.0293024
20000120,0.574908,1,-0.376142
20000121,0.462676,1,-0.295224
20000122,0.284702,0.958333,-0.0907152
20000123,0.327193,1,-0.052999
20000124,0.102736,1,0.127865
20000125,0.352927,1,-0.1374
20000126,0.518142,1,-0.401889
20000127,0.470543,0.958333,-0.261835
20000128,0.343134,1,0.0820326
20000129,0.317273,0.875,0.0995944
20000130,0.411745,1,-0.0109639
20000131,0.275541,1,0.160567
20000201,0.452145,1,-0.105944
20000202,0.429737,0.958333,-0.0780726
20000203,0.466073,1,-0.0810276
20000204,0.565934,0.958333,-0.272444
20000205,0.528585,1,-0.223619
20000206,0.201053,1,0.132109
20000207,0.627223,1,-0.360467
20000208,0.247015,1,0.0672974
20000209,0.650872,1,-0.184116
20000210,0.447278,1,-0.08733
20000211,0.733199,1,-0.420337
20000212,0.503411,1,-0.115619
20000213,0.440001,1,0.06196
20000214,0.886347,1,-0.487478
20000215,0.416826,1,0.177025
20000216,0.667017,1,-0.260366
20000217,0.603835,1,-0.301931
20000218,0.55838,1,-0.128946
20000219,0.393241,1,0.0763247
20000220,0.556212,1,-0.041528
20000221,0.570657,0.625,0.0949233
20000222,0.604502,0.541667,0.367786
20000223,1.06534,0.916667,-0.0415626
20000224,0.612106,0.291667,0.285263
20000225,0.664007,0.625,0.271871
20000226,0.906274,1,0.343694
20000227,0.788869,1,0.105248
20000228,0.6569,1,0.0413158
20000229,0.554662,1,0.369469
20000301,0.675132,1,0.0827115
20000302,0.67289,1,-0.0928081
20000303,0.43746,1,0.267213
20000304,0.5747,1,0.414122
20000305,0.610244,1,0.451428
20000306,0.545075,1,0.739617
20000307,1.35985,0.875,0.439338
20000308,1.04845,0.541667,1.14007
20000309,0.836799,0.666667,0.257896
20000310,0.613003,1,-0.0905916
20000311,0.797355,0.958333,-0.183346
20000312,0.505584,1,0.0684707
20000313,0.61754,1,-0.124279
20000314,0.535234,1,0.068609
20000315,0.580577,1,-0.0646383
20000316,0.545754,1,-0.128393
20000317,0.570022,1,-0.136557
20000318,0.639247,1,0.0128217
20000319,0.553572,1,0.217978
20000320,0.53792,1,0.306073
20000321,0.742648,1,0.257342
20000322,1.6107,1,-0.466788
20000323,0.925111,0.875,0.275792
20000324,0.800555,1,0.485535
20000325,0.816998,1,0.298261
20000326,0.712445,1,0.22075
20000327,0.69948,1,0.162465
20000328,0.49031,1,0.358573
20000329,0.403494,1,0.329722
20000330,0.682613,1,0.241854
20000331,0.440154,0.833333,0.613
20000401,0.766806,0.833333,0.372375
20000402,0.962088,0.791667,0.264737
20000403,0.998963,0.958333,0.0695447
20000404,0.519153,1,0.164475
20000405,0.831978,1,-0.0351012
20000406,0.620943,1,0.216968
20000407,0.721046,1,-0.0470596
20000408,0.775036,1,-0.146913
20000409,0.590914,1,0.0440025
20000410,0.809339,1,-0.222871
