Year,Month,ID,NDVI
1982,1,0,0.21960 
1982,1,1,0.21335 
1982,2,2,0.20652 
1982,2,3,0.20423 
1982,3,4,0.20682 
1982,3,5,0.22123 
1982,4,6,0.24448 
1982,4,7,0.29733 
1982,5,8,0.37164 
1982,5,9,0.43689 
1982,6,10,0.48057 
1982,6,11,0.51781 
1982,7,12,0.54435 
1982,7,13,0.55440 
1982,8,14,0.54329 
1982,8,15,0.52431 
1982,9,16,0.48430 
1982,9,17,0.41687 
1982,10,18,0.37447 
1982,10,19,0.31837 
1982,11,20,0.27702 
1982,11,21,0.24092 
1982,12,22,0.23689 
1982,12,23,0.22224 
1983,1,24,0.20632 
1983,1,25,0.20753 
1983,2,26,0.19608 
1983,2,27,0.19626 
1983,3,28,0.21025 
1983,3,29,0.22119 
1983,4,30,0.24699 
1983,4,31,0.29616 
1983,5,32,0.37025 
1983,5,33,0.42960 
1983,6,34,0.48055 
1983,6,35,0.52744 
1983,7,36,0.54324 
1983,7,37,0.55941 
1983,8,38,0.55447 
1983,8,39,0.53610 
1983,9,40,0.47882 
1983,9,41,0.39960 
1983,10,42,0.37390 
1983,10,43,0.32304 
1983,11,44,0.28235 
1983,11,45,0.25560 
1983,12,46,0.24491 
1983,12,47,0.24679 
1984,1,48,0.22706 
1984,1,49,0.22044 
1984,2,50,0.19038 
1984,2,51,0.17786 
1984,3,52,0.19687 
1984,3,53,0.20425 
1984,4,54,0.23906 
1984,4,55,0.28918 
1984,5,56,0.37695 
1984,5,57,0.44461 
1984,6,58,0.50090 
1984,6,59,0.53971 
1984,7,60,0.55023 
1984,7,61,0.53653 
1984,8,62,0.53970 
1984,8,63,0.52566 
1984,9,64,0.46700 
1984,9,65,0.39541 
1984,10,66,0.36553 
1984,10,67,0.30687 
1984,11,68,0.27151 
1984,11,69,0.25443 
1984,12,70,0.22715 
1984,12,71,0.24947 
1985,1,72,0.21796 
1985,1,73,0.21293 
1985,2,74,0.18324 
1985,2,75,0.17918 
1985,3,76,0.19522 
1985,3,77,0.22009 
1985,4,78,0.25102 
1985,4,79,0.29424 
1985,5,80,0.38059 
1985,5,81,0.43630 
1985,6,82,0.48491 
1985,6,83,0.53086 
1985,7,84,0.55792 
1985,7,85,0.54914 
1985,8,86,0.54790 
1985,8,87,0.53198 
1985,9,88,0.49305 
1985,9,89,0.42906 
1985,10,90,0.39200 
1985,10,91,0.32666 
1985,11,92,0.27807 
1985,11,93,0.23231 
1985,12,94,0.22369 
1985,12,95,0.22073 
1986,1,96,0.21326 
1986,1,97,0.21206 
1986,2,98,0.20648 
1986,2,99,0.21342 
1986,3,100,0.21275 
1986,3,101,0.23021 
1986,4,102,0.25932 
1986,4,103,0.30743 
1986,5,104,0.38000 
1986,5,105,0.44003 
1986,6,106,0.50069 
1986,6,107,0.54791 
1986,7,108,0.55430 
1986,7,109,0.54841 
1986,8,110,0.55053 
1986,8,111,0.53630 
1986,9,112,0.48715 
1986,9,113,0.42454 
1986,10,114,0.39263 
1986,10,115,0.34509 
1986,11,116,0.28771 
1986,11,117,0.23870 
1986,12,118,0.23085 
1986,12,119,0.22881 
1987,1,120,0.22242 
1987,1,121,0.21607 
1987,2,122,0.20803 
1987,2,123,0.20973 
1987,3,124,0.22094 
1987,3,125,0.22492 
1987,4,126,0.25033 
1987,4,127,0.30668 
1987,5,128,0.37831 
1987,5,129,0.43775 
1987,6,130,0.48710 
1987,6,131,0.52888 
1987,7,132,0.55478 
1987,7,133,0.56901 
1987,8,134,0.55714 
1987,8,135,0.55116 
1987,9,136,0.49595 
1987,9,137,0.41975 
1987,10,138,0.39411 
1987,10,139,0.33318 
1987,11,140,0.28588 
1987,11,141,0.24844 
1987,12,142,0.23492 
1987,12,143,0.23345 
1988,1,144,0.23364 
1988,1,145,0.22846 
1988,2,146,0.22202 
1988,2,147,0.21241 
1988,3,148,0.21935 
1988,3,149,0.22911 
1988,4,150,0.25926 
1988,4,151,0.31584 
1988,5,152,0.38991 
1988,5,153,0.45773 
1988,6,154,0.51425 
1988,6,155,0.54551 
1988,7,156,0.56237 
1988,7,157,0.57233 
1988,8,158,0.55144 
1988,8,159,0.53749 
1988,9,160,0.49399 
1988,9,161,0.42145 
1988,10,162,0.38733 
1988,10,163,0.31921 
1988,11,164,0.26911 
1988,11,165,0.22873 
1988,12,166,0.22584 
1988,12,167,0.21662 
1989,1,168,0.21092 
1989,1,169,0.21104 
1989,2,170,0.21749 
1989,2,171,0.20854 
1989,3,172,0.21739 
1989,3,173,0.23733 
1989,4,174,0.23292 
1989,4,175,0.27089 
1989,5,176,0.38550 
1989,5,177,0.46734 
1989,6,178,0.51797 
1989,6,179,0.54865 
1989,7,180,0.57050 
1989,7,181,0.56580 
1989,8,182,0.55259 
1989,8,183,0.53755 
1989,9,184,0.50447 
1989,9,185,0.44627 
1989,10,186,0.41451 
1989,10,187,0.35168 
1989,11,188,0.28343 
1989,11,189,0.24718 
1989,12,190,0.23321 
1989,12,191,0.22458 
1990,1,192,0.22339 
1990,1,193,0.22007 
1990,2,194,0.21140 
1990,2,195,0.22265 
1990,3,196,0.23574 
1990,3,197,0.25724 
1990,4,198,0.28427 
